"mic","symbol","isin","date","open_value","high_value","low_value","last_value","change_prev_close_percentage","turnover"
"XZAG","CBX","HRZB00ICBEX6","2011-10-19",1805.25,1814.99,1799.00,1802.67,-0.07,4413551.51
"XZAG","CBX","HRZB00ICBEX6","2011-10-18",1825.54,1827.49,1802.29,1803.86,-1.24,9214851.90
"XZAG","CBX","HRZB00ICBEX6","2011-10-17",1822.69,1844.86,1822.69,1826.44,0.16,12987537.06
"XZAG","CBX","HRZB00ICBEX6","2011-10-14",1820.05,1830.06,1818.82,1823.50,0.15,11307049.75
"XZAG","CBX","HRZB00ICBEX6","2011-10-13",1820.03,1832.00,1819.42,1820.72,0.04,5573125.48
"XZAG","CBX","HRZB00ICBEX6","2011-10-12",1798.37,1827.39,1797.49,1820.02,1.44,10227116.66
"XZAG","CBX","HRZB00ICBEX6","2011-10-11",1806.62,1816.62,1790.83,1794.15,-0.69,17597474.09
"XZAG","CBX","HRZB00ICBEX6","2011-10-10",1822.55,1826.44,1798.35,1806.60,-0.86,25331706.78
"XZAG","CBX","HRZB00ICBEX6","2011-10-07",1814.01,1823.50,1811.63,1822.23,0.46,12104002.19
"XZAG","CBX","HRZB00ICBEX6","2011-10-06",1811.69,1829.33,1810.61,1813.83,0.16,7613548.39
"XZAG","CBX","HRZB00ICBEX6","2011-10-05",1788.53,1812.34,1788.53,1810.89,1.29,6501765.41
"XZAG","CBX","HRZB00ICBEX6","2011-10-04",1814.17,1816.29,1784.17,1787.89,-1.59,15300926.54
"XZAG","CBX","HRZB00ICBEX6","2011-10-03",1853.55,1853.55,1813.65,1816.76,-2.03,7838254.62
"XZAG","CBX","HRZB00ICBEX6","2011-09-30",1854.24,1860.93,1849.46,1854.41,0.02,9104391.69
"XZAG","CBX","HRZB00ICBEX6","2011-09-29",1871.09,1873.12,1853.74,1854.03,-0.94,9381192.87
"XZAG","CBX","HRZB00ICBEX6","2011-09-28",1865.77,1877.31,1861.94,1871.66,0.36,17295156.94
"XZAG","CBX","HRZB00ICBEX6","2011-09-27",1852.10,1879.66,1852.10,1865.02,0.79,18568348.60
"XZAG","CBX","HRZB00ICBEX6","2011-09-26",1847.30,1859.74,1836.17,1850.48,0.19,16009278.00
"XZAG","CBX","HRZB00ICBEX6","2011-09-23",1877.09,1879.90,1832.52,1846.96,-1.62,20498951.58
"XZAG","CBX","HRZB00ICBEX6","2011-09-22",1926.32,1926.32,1876.42,1877.31,-2.62,21735985.29
"XZAG","CBX","HRZB00ICBEX6","2011-09-21",1916.44,1927.72,1905.50,1927.72,0.60,9217935.70
"XZAG","CBX","HRZB00ICBEX6","2011-09-20",1929.37,1934.26,1914.63,1916.20,-0.68,7249416.07
"XZAG","CBX","HRZB00ICBEX6","2011-09-19",1985.55,1985.55,1920.40,1929.38,-2.85,8510151.57
"XZAG","CBX","HRZB00ICBEX6","2011-09-16",1949.83,1987.26,1941.58,1985.88,1.86,22040811.51
"XZAG","CBX","HRZB00ICBEX6","2011-09-15",1930.92,1951.49,1929.00,1949.65,1.04,15882867.27
"XZAG","CBX","HRZB00ICBEX6","2011-09-14",1930.91,1934.05,1924.76,1929.63,-0.16,18084829.77
"XZAG","CBX","HRZB00ICBEX6","2011-09-13",1940.41,1942.59,1928.55,1932.73,-0.38,9854896.60
"XZAG","CBX","HRZB00ICBEX6","2011-09-12",1973.46,1973.46,1935.39,1940.12,-1.70,9557596.25
"XZAG","CBX","HRZB00ICBEX6","2011-09-09",1986.11,1987.90,1970.02,1973.62,-0.64,4535968.41
"XZAG","CBX","HRZB00ICBEX6","2011-09-08",1989.24,1993.58,1984.04,1986.31,-0.15,4183363.10
"XZAG","CBX","HRZB00ICBEX6","2011-09-07",1983.43,1997.75,1983.43,1989.20,0.32,8289633.73
"XZAG","CBX","HRZB00ICBEX6","2011-09-06",1977.64,1993.66,1973.73,1982.84,0.30,8564382.56
"XZAG","CBX","HRZB00ICBEX6","2011-09-05",2011.91,2011.91,1976.30,1976.85,-1.76,15920451.59
"XZAG","CBX","HRZB00ICBEX6","2011-09-02",2028.36,2030.07,2005.18,2012.20,-0.81,9529293.89
"XZAG","CBX","HRZB00ICBEX6","2011-09-01",2034.48,2037.78,2025.38,2028.68,-0.26,5521161.76
"XZAG","CBX","HRZB00ICBEX6","2011-08-31",2015.41,2034.04,2015.41,2033.92,0.96,10881175.40
"XZAG","CBX","HRZB00ICBEX6","2011-08-30",2012.02,2025.40,2008.42,2014.63,0.15,8075518.34
"XZAG","CBX","HRZB00ICBEX6","2011-08-29",1986.68,2011.71,1986.68,2011.71,1.28,7301454.08
"XZAG","CBX","HRZB00ICBEX6","2011-08-26",2000.19,2000.19,1982.41,1986.24,-0.72,9486173.51
"XZAG","CBX","HRZB00ICBEX6","2011-08-25",1988.74,2011.37,1988.74,2000.74,0.62,8715841.97
"XZAG","CBX","HRZB00ICBEX6","2011-08-24",1985.72,1992.32,1982.54,1988.37,0.15,6208587.12
"XZAG","CBX","HRZB00ICBEX6","2011-08-23",1985.49,1997.33,1984.73,1985.44,0.02,13771542.78
"XZAG","CBX","HRZB00ICBEX6","2011-08-22",1979.13,1988.35,1976.60,1985.06,0.31,6539631.64
"XZAG","CBX","HRZB00ICBEX6","2011-08-19",1990.68,1990.68,1947.15,1978.86,-0.61,13142173.38
"XZAG","CBX","HRZB00ICBEX6","2011-08-18",2023.17,2025.54,1989.37,1991.01,-1.62,12195441.46
"XZAG","CBX","HRZB00ICBEX6","2011-08-17",2013.29,2024.72,2009.28,2023.74,0.52,9152696.53
"XZAG","CBX","HRZB00ICBEX6","2011-08-16",2036.79,2040.24,2013.22,2013.22,-1.13,10666063.92
"XZAG","CBX","HRZB00ICBEX6","2011-08-12",1989.36,2036.96,1989.36,2036.18,2.35,23370827.99
"XZAG","CBX","HRZB00ICBEX6","2011-08-11",1981.93,2004.34,1977.13,1989.41,0.37,39239652.37
"XZAG","CBX","HRZB00ICBEX6","2011-08-10",2006.82,2044.01,1976.86,1981.99,-1.18,45532666.88
"XZAG","CBX","HRZB00ICBEX6","2011-08-09",2033.27,2033.27,1924.30,2005.65,-1.39,74979327.17
"XZAG","CBX","HRZB00ICBEX6","2011-08-08",2129.35,2129.35,2018.61,2033.85,-4.57,67675611.98
"XZAG","CBX","HRZB00ICBEX6","2011-08-04",2144.57,2144.57,2129.43,2131.35,-0.59,10495945.21
"XZAG","CBX","HRZB00ICBEX6","2011-08-03",2161.02,2161.32,2143.65,2144.08,-0.79,6027577.85
"XZAG","CBX","HRZB00ICBEX6","2011-08-02",2160.65,2165.28,2154.55,2161.17,-0.11,4358576.32
"XZAG","CBX","HRZB00ICBEX6","2011-08-01",2174.78,2177.13,2163.51,2163.65,-0.46,6566274.87
"XZAG","CBX","HRZB00ICBEX6","2011-07-29",2161.27,2175.09,2157.11,2173.73,0.60,10346412.62
"XZAG","CBX","HRZB00ICBEX6","2011-07-28",2155.20,2162.47,2140.42,2160.79,0.28,11217991.57
"XZAG","CBX","HRZB00ICBEX6","2011-07-27",2163.91,2167.57,2152.67,2154.79,4.63,8185342.11
"XZAG","CBX","HRZB00ICBEX6","2011-07-26",2068.69,2074.59,2056.71,2059.46,-0.29,9464811.28
"XZAG","CBX","HRZB00ICBEX6","2011-07-25",2089.63,2090.21,2057.56,2065.46,-1.39,21316056.85
"XZAG","CBX","HRZB00ICBEX6","2011-07-22",2197.87,2199.75,2090.28,2094.57,-4.66,12311141.67
"XZAG","CBX","HRZB00ICBEX6","2011-07-21",2189.40,2203.00,2188.85,2197.04,0.37,7628057.22
"XZAG","CBX","HRZB00ICBEX6","2011-07-20",2201.44,2202.83,2188.26,2188.90,-0.51,11161676.99
"XZAG","CBX","HRZB00ICBEX6","2011-07-19",2198.06,2203.37,2192.89,2200.08,0.08,7726560.80
"XZAG","CBX","HRZB00ICBEX6","2011-07-18",2207.01,2207.30,2197.47,2198.43,-0.38,9006877.94
"XZAG","CBX","HRZB00ICBEX6","2011-07-15",2197.30,2210.05,2196.25,2206.82,0.46,14615495.04
"XZAG","CBX","HRZB00ICBEX6","2011-07-14",2202.61,2206.95,2195.22,2196.73,-0.19,5575768.30
"XZAG","CBX","HRZB00ICBEX6","2011-07-13",2192.50,2202.04,2192.50,2200.88,0.36,6157870.75
"XZAG","CBX","HRZB00ICBEX6","2011-07-12",2218.16,2218.16,2182.40,2192.89,-1.24,15536769.47
"XZAG","CBX","HRZB00ICBEX6","2011-07-11",2233.91,2234.27,2219.99,2220.53,-0.59,10349214.23
"XZAG","CBX","HRZB00ICBEX6","2011-07-08",2222.48,2235.65,2222.48,2233.63,0.48,8274866.93
"XZAG","CBX","HRZB00ICBEX6","2011-07-07",2223.65,2228.09,2219.07,2222.92,-0.06,6956573.90
"XZAG","CBX","HRZB00ICBEX6","2011-07-06",2229.14,2231.56,2218.46,2224.15,-0.22,10050322.26
"XZAG","CBX","HRZB00ICBEX6","2011-07-05",2231.07,2232.25,2223.18,2228.96,-0.08,14028574.51
"XZAG","CBX","HRZB00ICBEX6","2011-07-04",2237.06,2237.06,2229.59,2230.68,-0.27,9901785.15
"XZAG","CBX","HRZB00ICBEX6","2011-07-01",2231.11,2240.84,2230.18,2236.62,0.26,6800057.54
"XZAG","CBX","HRZB00ICBEX6","2011-06-30",2239.98,2240.72,2227.64,2230.85,-0.42,11787912.13
"XZAG","CBX","HRZB00ICBEX6","2011-06-29",2231.18,2245.31,2227.87,2240.18,0.42,11176632.64
"XZAG","CBX","HRZB00ICBEX6","2011-06-28",2226.75,2231.17,2223.76,2230.79,0.21,11299309.82
"XZAG","CBX","HRZB00ICBEX6","2011-06-27",2242.70,2244.09,2221.88,2226.17,-0.71,9779607.12
"XZAG","CBX","HRZB00ICBEX6","2011-06-24",2243.04,2247.63,2238.30,2242.15,-0.04,5697514.25
"XZAG","CBX","HRZB00ICBEX6","2011-06-21",2233.64,2243.07,2231.66,2243.01,0.47,10021665.44
"XZAG","CBX","HRZB00ICBEX6","2011-06-20",2241.30,2244.84,2231.14,2232.47,-0.38,12144142.32
"XZAG","CBX","HRZB00ICBEX6","2011-06-17",2244.82,2244.82,2234.50,2240.96,-0.16,16192060.72
"XZAG","CBX","HRZB00ICBEX6","2011-06-16",2252.18,2252.18,2234.47,2244.61,-0.35,7773520.66
"XZAG","CBX","HRZB00ICBEX6","2011-06-15",2256.53,2258.31,2248.95,2252.54,-0.20,10385090.25
"XZAG","CBX","HRZB00ICBEX6","2011-06-14",2271.43,2277.52,2255.06,2256.99,-0.63,16127786.36
"XZAG","CBX","HRZB00ICBEX6","2011-06-13",2274.88,2284.04,2264.09,2271.25,-0.17,19645111.66
"XZAG","CBX","HRZB00ICBEX6","2011-06-10",2268.94,2289.06,2268.94,2275.04,0.27,21935475.57
"XZAG","CBX","HRZB00ICBEX6","2011-06-09",2260.42,2268.84,2255.20,2268.84,0.37,24461724.31
"XZAG","CBX","HRZB00ICBEX6","2011-06-08",2257.30,2264.62,2255.36,2260.42,0.15,16531073.77
"XZAG","CBX","HRZB00ICBEX6","2011-06-07",2254.24,2260.38,2251.41,2256.97,0.12,17703708.51
"XZAG","CBX","HRZB00ICBEX6","2011-06-06",2269.31,2275.79,2252.79,2254.24,-0.69,9140789.81
"XZAG","CBX","HRZB00ICBEX6","2011-06-03",2259.96,2269.91,2259.67,2269.90,0.44,12204425.27
"XZAG","CBX","HRZB00ICBEX6","2011-06-02",2271.85,2272.11,2254.22,2259.98,-0.55,13942501.97
"XZAG","CBX","HRZB00ICBEX6","2011-06-01",2278.72,2281.75,2262.69,2272.40,-0.28,15201929.94
"XZAG","CBX","HRZB00ICBEX6","2011-05-31",2270.41,2296.29,2270.41,2278.88,0.39,34630859.14
"XZAG","CBX","HRZB00ICBEX6","2011-05-30",2253.18,2270.02,2248.87,2270.02,0.77,20709051.98
"XZAG","CBX","HRZB00ICBEX6","2011-05-27",2237.89,2255.43,2237.89,2252.74,0.68,16976975.67
"XZAG","CBX","HRZB00ICBEX6","2011-05-26",2227.09,2239.67,2221.65,2237.63,0.47,13968358.21
"XZAG","CBX","HRZB00ICBEX6","2011-05-25",2219.43,2227.08,2219.24,2227.08,0.35,10090390.29
"XZAG","CBX","HRZB00ICBEX6","2011-05-24",2223.62,2224.81,2214.37,2219.33,-0.19,12699531.61
"XZAG","CBX","HRZB00ICBEX6","2011-05-23",2242.37,2242.38,2220.39,2223.62,-0.88,9071580.56
"XZAG","CBX","HRZB00ICBEX6","2011-05-20",2239.81,2244.61,2233.57,2243.47,-0.59,13903999.45
"XZAG","CBX","HRZB00ICBEX6","2011-05-19",2219.08,2257.90,2219.08,2256.86,1.71,21624659.91
"XZAG","CBX","HRZB00ICBEX6","2011-05-18",2204.70,2218.94,2204.70,2218.94,0.62,12115951.64
"XZAG","CBX","HRZB00ICBEX6","2011-05-17",2211.96,2213.81,2203.27,2205.21,-0.30,12560864.15
"XZAG","CBX","HRZB00ICBEX6","2011-05-16",2208.67,2214.22,2207.48,2211.94,0.09,8481509.80
"XZAG","CBX","HRZB00ICBEX6","2011-05-13",2209.34,2211.65,2203.17,2209.87,0.03,10735328.05
"XZAG","CBX","HRZB00ICBEX6","2011-05-12",2208.05,2210.61,2204.22,2209.29,0.04,7972717.90
"XZAG","CBX","HRZB00ICBEX6","2011-05-11",2211.09,2214.26,2203.88,2208.33,-0.11,11698949.60
